Premises	English URLs	证据	Mandarin URLs
Prior and during the Brown v. case, parties like the Entertainment Software Association (ESA) sought to overturn similar state laws that placed limits on the sales of violent video games to minors in Michigan[REF] and Illinois [REF]. The ESA won these cases, with the laws being found unconstitutional and overly restrictive of protected speech [REF	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	在本案诉讼期间及之前，美国娱乐软件协会（Entertainment Software Association）就试图推翻密歇根州[13] 和伊利诺伊州[14] 所指定的旨在禁止向未成年人销售暴力电子游戏的法律。由于这些法律存在违宪或对言论监管过严的纰漏，故而美国娱乐软件协会赢得了判决	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
Academic studies have attempted to find a connection between violent video games and the rate of violence and crimes from those that play them; some have stated a connection exists	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	不少学术研究试图找出一些人的犯罪行为同他们玩电子游戏行为之间的联系，有些研究表明这种联系是存在的	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
Incidents such as the Columbine High School massacre in 1999 have heightened concerns of a potential connection between video games and violent actions [REF	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	如在1999年的科伦拜校园事件中，有人认为凶手的暴力行为与电子游戏之间就存在潜在的联系	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
The Ninth Circuit affirmed the District Court's Summary Judgment for the VSDA by holding:  The Act is a presumptively invalid content-based restriction	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	第九巡回法庭支持了地方法院的判决，并作出如下裁定：该法案是基于“推定无罪”原则上对言论进行了限制	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
the court recognized that "content-based regulations are presumptively invalid,	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	法院认为任何“基于内容审核的规章制度的前提要素应当是‘推定无罪	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
The Court declared forcefully that content-based restrictions on games are unconstitutional	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	法庭的判决说明对游戏内容的审查是违宪的	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
Academic studies have attempted to find a connection between violent video games and the rate of violence and crimes from those that play them; some have stated a connection exists,[REF][REF][REF] while others find no link between the matters [REF	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	不少学术研究试图找出一些人的犯罪行为同他们玩电子游戏行为之间的联系，有些研究表明这种联系是存在的；[5][6][7] 但是另外一些研究者则认为两者之间并无直接联系	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
Brown v. Entertainment Merchants Association, 564 U.S. 786 (2011), is a landmark case by the Supreme Court of the United States that struck down a 2005 California law banning the sale of certain violent video games to children without parental supervision.[2] In a 7–2 decision, the Court upheld the lower court decisions and nullified the law, ruling that video games were protected speech under the First Amendment	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	布朗诉娱乐商业协会案（Brown v. Entertainment Merchants Association），其前称为施瓦辛格诉娱乐商业协会案（Schwarzenegger v. Entertainment Merchants Association）。[2] 本案由美国联邦最高法院审理，是裁决关于美国加州2005年制定的一项旨在阻止将暴力游戏销售给未经父母监督孩子的法律是否违宪的案件。[3] 经投票，以七票赞成两票反对的结果，最高法院支持了初审法院的判决，裁定电子游戏为传媒形式之一，故而受到美国宪法第一修正案的保护	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
Prior and during the Brown v. case, parties like the Entertainment Software Association (ESA) sought to overturn similar state laws that placed limits on the sales of violent video games to minors in Michigan[REF] and Illinois [REF]. The ESA won these cases, with the laws being found unconstitutional and overly restrictive of protected speech [REF	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	在本案诉讼期间及之前，美国娱乐软件协会（Entertainment Software Association）就试图推翻密歇根州[13] 和伊利诺伊州[14] 所指定的旨在禁止向未成年人销售暴力电子游戏的法律。由于这些法律存在违宪或对言论监管过严的纰漏，故而美国娱乐软件协会赢得了判决	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
The ESA similarly defeated a Louisiana bill in the 2006 Entertainment Software Association v. Foti case that would have attempted to ban sales of violent video games from minors	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	在2006年美国娱乐软件协会诉福蒂案中，美国娱乐软件协会再度击败了路易斯安那州关于禁止向未成年人出售暴力游戏的法律。	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
